ticker,sector,avg_daily_return,volatility,weight
HDFCBANK.NS,Banking,0.0004363651001915941,0.018076178367458357,0.1
ICICIBANK.NS,Banking,0.0008042844325954138,0.018076178367458357,0.1
TCS.NS,IT,0.0005254439569390952,0.018076178367458357,0.1
INFY.NS,IT,0.000785424580292107,0.018076178367458357,0.1
RELIANCE.NS,Energy,8.763339670350658e-05,0.018076178367458357,0.1
SUNPHARMA.NS,Pharma,0.0005698484959836657,0.018076178367458357,0.1
HINDUNILVR.NS,FMCG,0.0005918435201604592,0.018076178367458357,0.1
MARUTI.NS,Auto,0.0005624279484805991,0.018076178367458357,0.1
TATASTEEL.NS,Metal,0.0007722433175966815,0.018076178367458357,0.1
WIPRO.NS,IT,0.000852524565272153,0.018076178367458357,0.1
^NSEI,Index,0.0004965467007449449,0.018076178367458357,0.0
